state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Illinois,17001,Adams County,23161,8111,31744,15050.0,0.7296181955645161,0.2555128528225806,0.4741053427419355
Illinois,17003,Alexander County,1341,904,2271,437.0,0.5904887714663144,0.3980625275209159,0.1924262439453984
Illinois,17005,Bond County,5692,2117,7981,3575.0,0.7131938353589776,0.2652549805788748,0.4479388547801028
Illinois,17007,Boone County,13673,10159,24216,3514.0,0.5646266930954741,0.4195160224644862,0.1451106706309878
Illinois,17009,Brown County,1938,467,2455,1471.0,0.7894093686354379,0.190224032586558,0.5991853360488798
Illinois,17011,Bureau County,9784,5900,15992,3884.0,0.6118059029514757,0.3689344672336168,0.2428714357178589
Illinois,17013,Calhoun County,2059,560,2680,1499.0,0.7682835820895523,0.208955223880597,0.5593283582089552
Illinois,17015,Carroll County,5082,2600,7836,2482.0,0.6485451761102603,0.3318019397651863,0.316743236345074
Illinois,17017,Cass County,3712,1438,5241,2274.0,0.7082617821026521,0.2743751192520511,0.4338866628506009
Illinois,17019,Champaign County,32965,54314,88627,-21349.0,0.3719521139156239,0.6128380741760412,-0.2408859602604173
Illinois,17021,Christian County,11278,4026,15534,7252.0,0.7260203424745719,0.2591734260332174,0.4668469164413544
Illinois,17023,Clark County,6130,1927,8203,4203.0,0.7472875777154699,0.2349140558332317,0.5123735218822382
Illinois,17025,Clay County,5610,1054,6766,4556.0,0.8291457286432161,0.1557788944723618,0.6733668341708543
Illinois,17027,Clinton County,14407,4447,19215,9960.0,0.7497788186312776,0.2314337756960707,0.5183450429352068
Illinois,17029,Coles County,13606,7495,21469,6111.0,0.6337509897992454,0.3491080162094182,0.2846429735898271
Illinois,17031,Cook County,583852,1447821,2056800,-863969.0,0.2838642551536367,0.703919194865811,-0.4200549397121743
Illinois,17033,Crawford County,6727,2048,8927,4679.0,0.75355662596617,0.2294163772824017,0.5241402486837683
Illinois,17035,Cumberland County,4627,1059,5768,3568.0,0.8021844660194175,0.1835991678224688,0.6185852981969487
Illinois,17037,DeKalb County,22716,23648,47186,-932.0,0.4814139787225024,0.5011655999660917,-0.0197516212435892
Illinois,17039,De Witt County,5529,2058,7736,3471.0,0.7147104446742503,0.266028955532575,0.4486814891416752
Illinois,17041,Douglas County,6076,2198,8404,3878.0,0.7229890528319848,0.2615421227986673,0.4614469300333175
Illinois,17043,DuPage County,191243,251164,449660,-59921.0,0.4253057865943157,0.5585642485433439,-0.1332584619490281
Illinois,17045,Edgar County,5955,1816,7906,4139.0,0.753225398431571,0.2296989628130533,0.5235264356185176
Illinois,17047,Edwards County,2794,457,3288,2337.0,0.8497566909975669,0.1389902676399027,0.7107664233576643
Illinois,17049,Effingham County,15124,3617,19062,11507.0,0.7934109747140908,0.1897492393243101,0.6036617353897806
Illinois,17051,Fayette County,7847,1632,9601,6215.0,0.8173106968024164,0.1699822935110926,0.6473284032913238
Illinois,17053,Ford County,4778,1643,6547,3135.0,0.7297999083549718,0.2509546357110127,0.4788452726439591
Illinois,17055,Franklin County,13200,4257,17685,8943.0,0.7463952502120441,0.2407124681933842,0.5056827820186599
Illinois,17057,Fulton County,9827,5980,16137,3847.0,0.6089731672553759,0.3705769349941129,0.2383962322612629
Illinois,17059,Gallatin County,1923,561,2529,1362.0,0.7603795966785291,0.2218268090154211,0.538552787663108
Illinois,17061,Greene County,4719,1220,6054,3499.0,0.7794846382556987,0.2015196564255038,0.5779649818301948
Illinois,17063,Grundy County,16997,9143,26539,7854.0,0.6404536719544821,0.3445118504841931,0.295941821470289
Illinois,17065,Hamilton County,3385,739,4181,2646.0,0.8096149246591724,0.1767519732121502,0.6328629514470222
Illinois,17067,Hancock County,6708,2183,9058,4525.0,0.7405608302053434,0.2410024287922278,0.4995584014131154
Illinois,17069,Hardin County,1546,357,1925,1189.0,0.8031168831168831,0.1854545454545454,0.6176623376623377
Illinois,17071,Henderson County,2369,1026,3462,1343.0,0.6842865395725014,0.2963604852686308,0.3879260543038705
Illinois,17073,Henry County,15359,9226,25062,6133.0,0.612840156412098,0.3681270449285771,0.2447131114835208
Illinois,17075,Iroquois County,10376,2747,13307,7629.0,0.7797399864732847,0.2064327045915683,0.5733072818817163
Illinois,17077,Jackson County,10614,11394,22331,-780.0,0.4753033899064081,0.5102324123415879,-0.0349290224351797
Illinois,17079,Jasper County,4449,912,5421,3537.0,0.8206972883231876,0.1682346430547869,0.6524626452684006
Illinois,17081,Jefferson County,12189,4240,16639,7949.0,0.7325560430314322,0.2548230061902758,0.4777330368411563
Illinois,17083,Jersey County,8684,2816,11691,5868.0,0.7427936019160037,0.2408690445641946,0.5019245573518091
Illinois,17085,Jo Daviess County,7136,5051,12385,2085.0,0.5761808639483246,0.4078320549051272,0.1683488090431973
Illinois,17087,Johnson County,4798,1241,6103,3557.0,0.7861707357037523,0.2033426183844011,0.5828281173193511
Illinois,17089,Kane County,99260,120077,222364,-20817.0,0.4463852062384199,0.5400019787375654,-0.0936167724991455
Illinois,17091,Kankakee County,28285,18399,47515,9886.0,0.5952856992528676,0.3872250868146901,0.2080606124381774
Illinois,17093,Kendall County,31970,32977,65970,-1007.0,0.4846142185842049,0.4998787327573139,-0.0152645141731089
Illinois,17095,Knox County,11917,9838,22175,2079.0,0.5374069898534386,0.4436527621195039,0.0937542277339346
Illinois,17097,Lake County,120402,184642,309323,-64240.0,0.3892436061980519,0.5969229575556942,-0.2076793513576423
Illinois,17099,LaSalle County,30717,21029,52432,9688.0,0.5858445224290509,0.4010718645102227,0.1847726579188282
