county_fips,votes_gop,votes_dem,total_votes,per_point_diff
51197,12267,3075,15439,0.5953753481443099
51199,20722,18296,39540,0.0613555892766818
51510,16112,62326,80062,-0.5772276485723564
51520,5197,2231,7479,0.3965770824976601
51530,2035,767,2853,0.4444444444444445
51540,3428,19435,23303,-0.6869072651589924
51550,60550,65399,127493,-0.0380334606605853
51570,5883,2982,8941,0.3244603511911419
51580,1642,818,2475,0.3329292929292929
51590,6894,10615,17667,-0.2106186675723099
51595,744,1419,2178,-0.3099173553719008
51600,4302,8797,13445,-0.3343250278914094
51610,1620,7200,8969,-0.62214293678225
51620,1476,2359,3876,-0.2278121775025799
51630,4480,8760,13495,-0.3171545016672842
51640,1946,753,2717,0.4390872285609127
51650,18383,43357,62632,-0.3987418571975986
51660,6266,10641,17245,-0.2536967236880255
51670,3838,5078,9006,-0.1376859871196979
51678,1030,1795,2863,-0.2672022354173943
51680,19574,16664,36715,0.0792591583821326
51683,6670,9048,16021,-0.1484301853816865
51685,2314,3506,5967,-0.1997653762359644
51690,2155,3435,5658,-0.2262283492400141
51700,26385,48169,75629,-0.2880376575123299
51710,24377,59941,85643,-0.4152586901439697
51720,1174,458,1643,0.4357881923311016
51730,1702,11219,13077,-0.7277663072570162
51735,5800,2119,8024,0.4587487537387836
51740,12370,28306,41252,-0.3863085426161155
51750,3197,3231,6550,-0.0051908396946564
51760,17041,88710,108143,-0.6627243557141932
51770,15787,25737,42128,-0.2361849601215343
51775,7769,5237,13148,0.1925768177669607
51790,5778,7592,13562,-0.1337560831735732
51800,22112,30597,53352,-0.1590380866696656
51810,109375,115412,227770,-0.026504807481231
51820,5882,5240,11274,0.0569451836083023
51830,2119,5613,7851,-0.4450388485543242
51840,5252,6407,11822,-0.097699204872272
53001,3767,1455,5345,0.4325537885874649
53003,7004,4082,11396,0.2564057564057563
53005,59555,37662,99947,0.2190460944300478
53007,22363,18397,41893,0.0946697538968324
53009,21632,25440,48390,-0.0786939450299648
53011,123998,143206,274795,-0.0698993795374734
53013,1737,661,2476,0.4345718901453957
53015,34580,22825,59020,0.1991697729583192
53017,13095,7410,21069,0.2698277089562865
53019,2667,1315,4096,0.330078125
